Episode 62 Reward: -2.3523733991793394, Distance Reached: 0.32
Episode 63 Start: (0.0, -0.0)
Episode 63 Reward: -3.100122764790211, Distance Reached: 0.06
Episode 64 Start: (0.0, -0.0)
Episode 64 Reward: -2.3941610427858375, Distance Reached: 0.05
Episode 65 Start: (0.0, -0.0)
Episode 65 Reward: -3.2364658586136477, Distance Reached: 0.41
Episode 66 Start: (0.0, -0.0)
Episode 66 Reward: -0.4356742666746699, Distance Reached: 0.25
Episode 67 Start: (0.0, -0.0)
Episode 67 Reward: -0.2154778180836976, Distance Reached: 0.27
Episode 68 Start: (0.0, -0.0)
Episode 68 Reward: -2.298215565942912, Distance Reached: 0.04
Episode 69 Start: (0.0, -0.0)
Episode 69 Reward: -2.217682548032581, Distance Reached: 0.17
Episode 70 Start: (0.0, -0.0)
Episode 70 Reward: -2.313956273269845, Distance Reached: 0.06
Episode 71 Start: (0.0, -0.0)
Episode 71 Reward: -2.611353288318672, Distance Reached: 0.04
Episode 72 Start: (0.0, -0.0)
Episode 72 Reward: -3.1723958850319325, Distance Reached: 0.08
Episode 73 Start: (0.0, -0.0)
Episode 73 Reward: -0.24705258884645634, Distance Reached: 0.07
Episode 74 Start: (0.0, -0.0)
Episode 74 Reward: -2.0145758885312492, Distance Reached: 0.03
Episode 75 Start: (0.0, -0.0)
Episode 75 Reward: -0.24119780504256993, Distance Reached: 0.33
Episode 76 Start: (0.0, -0.0)
Episode 76 Reward: -0.36512888993289316, Distance Reached: 0.37
Episode 77 Start: (0.0, -0.0)
Episode 77 Reward: -0.34061995620746777, Distance Reached: 0.32
Episode 78 Start: (0.0, -0.0)
Episode 78 Reward: -2.0353888149960677, Distance Reached: 0.05
Episode 79 Start: (0.0, -0.0)
Episode 79 Reward: -2.2839450854060455, Distance Reached: 0.31
Episode 80 Start: (0.0, -0.0)
Episode 80 Reward: -0.3220579030968235, Distance Reached: 0.11
Episode 81 Start: (0.0, -0.0)
Episode 81 Reward: -0.04175113987053949, Distance Reached: 0.06
Episode 82 Start: (0.0, -0.0)
Episode 82 Reward: -2.452278437608804, Distance Reached: 0.04
Episode 83 Start: (0.0, -0.0)
Episode 83 Reward: -2.239123316536122, Distance Reached: 0.2
Episode 84 Start: (0.0, -0.0)
Episode 84 Reward: -1.9014318807062405, Distance Reached: 0.29
Episode 85 Start: (0.0, -0.0)
Episode 85 Reward: -2.1697043620280456, Distance Reached: 0.3
Episode 86 Start: (0.0, -0.0)
Episode 86 Reward: -2.2414450601186764, Distance Reached: 0.3
Episode 87 Start: (0.0, -0.0)
Episode 87 Reward: 0.14715354714081685, Distance Reached: 0.21
Episode 88 Start: (0.0, -0.0)
Episode 88 Reward: -2.291579771101011, Distance Reached: 0.12
Episode 89 Start: (0.0, -0.0)
Episode 89 Reward: -2.096261809202665, Distance Reached: 0.07
Episode 90 Start: (0.0, -0.0)
Episode 90 Reward: -2.195088372808899, Distance Reached: 0.04
Episode 91 Start: (0.0, -0.0)
Episode 91 Reward: -3.3319626039546346, Distance Reached: 0.04
Episode 92 Start: (0.0, -0.0)
Episode 92 Reward: -3.060109008332975, Distance Reached: 0.04
Episode 93 Start: (0.0, -0.0)
Episode 93 Reward: -2.0227213954882513, Distance Reached: 0.02
Episode 94 Start: (0.0, -0.0)
Episode 94 Reward: -2.539990089732798, Distance Reached: 0.05
Episode 95 Start: (0.0, -0.0)
Episode 95 Reward: -2.322848652077707, Distance Reached: 0.05
Episode 96 Start: (0.0, -0.0)
Episode 96 Reward: -2.9870033147560906, Distance Reached: 0.15
Episode 97 Start: (0.0, -0.0)
Episode 97 Reward: -2.015603074232547, Distance Reached: 0.02
Episode 98 Start: (0.0, -0.0)
Episode 98 Reward: -2.819720932502382, Distance Reached: 0.11
Episode 99 Start: (0.0, -0.0)
Episode 99 Reward: -1.99917743856126, Distance Reached: 0.06
Episode 100 Start: (0.0, -0.0)
Episode 100 Reward: -2.432649105761103, Distance Reached: 0.13
Episode 101 Start: (0.0, -0.0)
Episode 101 Reward: -2.405506184083694, Distance Reached: 0.03
Episode 102 Start: (0.0, -0.0)
Episode 102 Reward: -1.9486345340278803, Distance Reached: 0.35
Episode 103 Start: (0.0, -0.0)
Episode 103 Reward: 2.4346378627070115, Distance Reached: 0.69
Episode 104 Start: (0.0, -0.0)
Episode 104 Reward: -2.5816107037533893, Distance Reached: 0.34
Episode 105 Start: (0.0, -0.0)
Episode 105 Reward: 0.3463489075341856, Distance Reached: 0.84
Episode 106 Start: (0.0, -0.0)
Episode 106 Reward: -1.9466520022375526, Distance Reached: 0.17
